"","complexity","Comparison","Z","P.unadj","P.adj","signif"
"1","2","individual.lm - individual.nnls",-1.25196142408918,0.105291960399444,0.210583920798888," "
"2","2","individual.lm - multidimensional.nnls",4.09609118098743,2.10092244961136e-05,8.40368979844543e-05,"***"
"3","2","individual.nnls - multidimensional.nnls",5.3480526050766,4.44528138533959e-08,2.66716883120375e-07,"***"
"4","2","individual.lm - multidimensional.sle",3.66062633782597,0.000125799728593804,0.000377399185781413,"***"
"5","2","individual.nnls - multidimensional.sle",4.91258776191515,4.49410644532581e-07,2.2470532226629e-06,"***"
"6","2","multidimensional.nnls - multidimensional.sle",-0.435464843161454,0.33161252621905,0.33161252621905," "
"7","3","individual.lm - individual.nnls",-1.04104534241097,0.14892725241336,0.29785450482672," "
"8","3","individual.lm - multidimensional.nnls",4.07572653662858,2.29354504118156e-05,9.17418016472622e-05,"***"
"9","3","individual.nnls - multidimensional.nnls",5.11677187903955,1.55404575068408e-07,9.32427450410449e-07,"***"
"10","3","individual.lm - multidimensional.sle",3.85118734512817,5.87732653993074e-05,0.000176319796197922,"***"
"11","3","individual.nnls - multidimensional.sle",4.89223268753914,4.9849237418502e-07,2.4924618709251e-06,"***"
"12","3","multidimensional.nnls - multidimensional.sle",-0.224539191500406,0.411168887462496,0.411168887462496," "
"13","4","individual.lm - individual.nnls",-0.904955680513767,0.182744433497984,0.365488866995968," "
"14","4","individual.lm - multidimensional.nnls",4.29003425987918,8.93227786452358e-06,3.57291114580943e-05,"***"
"15","4","individual.nnls - multidimensional.nnls",5.19498994039294,1.02365455283682e-07,6.14192731702095e-07,"***"
"16","4","individual.lm - multidimensional.sle",4.15395069889966,1.63391805921436e-05,4.90175417764307e-05,"***"
"17","4","individual.nnls - multidimensional.sle",5.05890637941343,2.10833907044656e-07,1.05416953522328e-06,"***"
"18","4","multidimensional.nnls - multidimensional.sle",-0.136083560979514,0.445877611532579,0.445877611532579," "
"19","5","individual.lm - individual.nnls",-0.816506150910566,0.207105353507999,0.414210707015997," "
"20","5","individual.lm - multidimensional.nnls",4.12335606209836,1.86695912289433e-05,7.4678364915773e-05,"***"
"21","5","individual.nnls - multidimensional.nnls",4.93986221300892,3.9088897038935e-07,2.3453338223361e-06,"***"
"22","5","individual.lm - multidimensional.sle",4.09613919040134,2.1004870325903e-05,6.3014610977709e-05,"***"
"23","5","individual.nnls - multidimensional.sle",4.91264534131191,4.49278640015162e-07,2.24639320007581e-06,"***"
"24","5","multidimensional.nnls - multidimensional.sle",-0.0272168716970188,0.48914337951128,0.48914337951128," "
"25","6","individual.lm - individual.nnls",-0.381031737766272,0.351589849226029,0.703179698452057," "
"26","6","individual.lm - multidimensional.nnls",4.66763878763683,1.52340467439572e-06,6.0936186975829e-06,"***"
"27","6","individual.nnls - multidimensional.nnls",5.04867052540311,2.22447624635129e-07,1.33468574781078e-06,"***"
"28","6","individual.lm - multidimensional.sle",4.61320568224165,1.98252789270104e-06,5.94758367810311e-06,"***"
"29","6","individual.nnls - multidimensional.sle",4.99423742000792,2.95343482511473e-07,1.47671741255736e-06,"***"
"30","6","multidimensional.nnls - multidimensional.sle",-0.0544331053951815,0.478295051826138,0.478295051826138," "
"31","7","individual.lm - individual.nnls",-0.489918046403968,0.312095946195653,0.624191892391305," "
"32","7","individual.lm - multidimensional.nnls",5.01145334967392,2.70102401434189e-07,1.08040960573676e-06,"***"
"33","7","individual.nnls - multidimensional.nnls",5.50137139607789,1.88424220592528e-08,1.13054532355517e-07,"***"
"34","7","individual.lm - multidimensional.sle",4.95021359387342,3.70660384903014e-07,1.11198115470904e-06,"***"
"35","7","individual.nnls - multidimensional.sle",5.44013164027739,2.66206078903275e-08,1.33103039451637e-07,"***"
"36","7","multidimensional.nnls - multidimensional.sle",-0.0612397558004959,0.475584134290844,0.475584134290844," "
"37","8","individual.lm - individual.nnls",-0.472459167738543,0.318299540152236,0.636599080304472," "
"38","8","individual.lm - multidimensional.nnls",6.14392149121156,4.0254323086776e-10,1.61017292347104e-09,"***"
"39","8","individual.nnls - multidimensional.nnls",6.6163806589501,1.84049888497597e-11,1.10429933098558e-10,"***"
"40","8","individual.lm - multidimensional.sle",6.14392149121156,4.0254323086776e-10,1.20762969260328e-09,"***"
"41","8","individual.nnls - multidimensional.sle",6.6163806589501,1.84049888497597e-11,9.20249442487983e-11,"***"
"42","8","multidimensional.nnls - multidimensional.sle",0,0.5,0.5," "
